Level,RequiredExp,Description
1,100,다음 레벨(2)까지 필요 경험치 — 공식 80×L + 20×L² (레벨업 시 잔여 경험치 이월)
2,240,
3,420,
4,640,
5,900,
6,1200,
7,1540,
8,1920,
9,2340,
10,2800,Lv.10 → 11
11,3300,
12,3840,
13,4420,
14,5040,
15,5700,
16,6400,
17,7140,
18,7920,
19,8740,
20,9600,Lv.20 → 21
21,10500,
22,11440,
23,12420,
24,13440,
25,14500,
26,15600,
27,16740,
28,17920,
29,19140,
30,20400,Lv.30 → 31
31,21700,
32,23040,
33,24420,
34,25840,
35,27300,
36,28800,
37,30340,
38,31920,
39,33540,
40,35200,Lv.40 → 41
41,36900,
42,38640,
43,40420,
44,42240,
45,44100,
46,46000,
47,47940,
48,49920,
49,51940,
50,54000,Lv.50 → 51
51,56100,
52,58240,
53,60420,
54,62640,
55,64900,
56,67200,
57,69540,
58,71920,
59,74340,
60,76800,Lv.60 → 61
61,79300,
62,81840,
63,84420,
64,87040,
65,89700,
66,92400,
67,95140,
68,97920,
69,100740,
70,103600,Lv.70 → 71
71,106500,
72,109440,
73,112420,
74,115440,
75,118500,
76,121600,
77,124740,
78,127920,
79,131140,
80,134400,Lv.80 → 81
81,137700,
82,141040,
83,144420,
84,147840,
85,151300,
86,154800,
87,158340,
88,161920,
89,165540,
90,169200,Lv.90 → 91
91,172900,
92,176640,
93,180420,
94,184240,
95,188100,
96,192000,
97,195940,
98,199920,
99,0,최대 레벨 — 더 이상 성장하지 않음
