Monster_Name,MAXHP,Frequency,ActionName,ActionValue,ActionTarget,,,,,,
Soldier_Axe,40,80,두번찍기,8,FRONT,,,,,,
,,20,힘증가,2,,,,,,,
Soldier_Shield,70,25,혼자방어,15,,,,,,,
,,75,팀방어,5,,,,,,,
Soldier_Spear,40,50,찌르기,10,RANDOM_MIDDLE_BACK,,,,,,
,,50,방어,5,,,,,,,
WacherA,15,25,쇠락부여,2,RANDOM_SINGLE,,,,,,
,,25,붕괴부여,2,RANDOM_SINGLE,,,,,,
,,25,힘감소,2,RANDOM_SINGLE,,,,,,
,,25,방어감소,2,RANDOM_SINGLE,,,,,,
WacherB,15,33,힘증가,4,ENEMY_SINGLE,,,,,,
,,33,방어,15,,,,,,,
,,34,광역힘증가,2,WHOLE ,,,,,,
Devourer,50,33,단일딜후붕괴,15,RANDOM_SINGLE,,,,,,
,,33,광역붕괴,1,,,,,,,
,,34,공격후흡혈,10,RANDOM_SINGLE,,,,,,
GiantSoldier,100,100,SinglePattern,30,FRONT,,,,,,
SpearManA,30,100,준비상태돌입,0,FRONT,강공격,20,FRONT,강공격,20,FRONT
SpearManB,30,50,광공격후버프,5,WHOLE ,,,,,,
,,50,광방어후버프,5,,,,,,,
Guardian,50,50,단일공격,20,FRONT,,,,,,
,,50,광역방어,10,,,,,,,
,,Buff,SUHOJA,1,,,,,,,
치유사,100,100,단일패턴,1,,,,,,,
Happy,200,50,공격후붕괴,50,RANDOM_SINGLE,,,,,,
,,50,방어,50,,,,,,,
Saddy,200,50,두번공격,20,RANDOM_SINGLE,,,,,,
,,50,힘버프,5,,,,,,,
,,50,방어,100,,,,,,,
,,Buff,E2,1,,,,,,,
E3,200,50,타수공격,10,,,,,,,
,,50,방어,30,,,,,,,
E4,200,50,딜과도트,10,,,,,,,
,,50,방어,30,,,,,,,
NPC_Mercurius,1000,100,단일행동,10,,,,,,,
NPC_RyuJinSol,1000,100,단일행동,10,,,,,,,
NPC_ShadowMan,1000,100,단일행동,10,,,,,,,
NPC_Sophia,1000,100,단일행동,10,,,,,,,
Boss_Momos,9999,100,SingleAction,100,FRONT,,,,,,
,,100,Enrage,100,WHOLE ,,,,,,
Boss_Apates,9999,100,SingleAction,100,FRONT,,,,,,
,,100,Enrage,100,WHOLE ,,,,,,
Boss_Geras,9999,100,Enrage,100,FRONT,,,,,,
,,100,Enrage,100,WHOLE ,,,,,,
