NodeId,Character,Tree,Tier,Parent,NodeType,SkillNo,Stat,StatValue,Cost,Description
GKA1,GEORK,공격,0,,SKILL,GS6,,0,3,연속 베기 습득 (70% x2회)
GKA2,GEORK,공격,1,GKA1,STAT,,STR,3,5,힘 상승 (+3)
GKA3,GEORK,공격,2,GKA2,SKILL,GS7,,0,6,기사도 습득 — 패시브 (자신을 노리는 적에게 피해 +20%)
GKA4,GEORK,공격,3,GKA3,STAT,,AGI,3,5,민첩 상승 (+3)
GKA5,GEORK,공격,4,GKA4,SKILL,GS8,,0,9,약점 찌르기 습득 (100% + 쇠락)
GKA6,GEORK,공격,5,GKA5,STAT,,STR,5,10,힘 상승2 (+5)
GKA7,GEORK,공격,6,GKA6,SKILL,GS9,,0,12,풍차 베기 습득 (전체 40% x2회)
GKA8,GEORK,공격,7,GKA7,STAT,,CTRL,3,10,제어 상승 (+3)
GKA9,GEORK,공격,8,GKA8,SKILL,GS10,,0,15,범접할 수 없는 힘 습득 (120%)
HA0,HONGDANHYANG,개화,0,,SKILL,HS1,,0,1,화염구 습득
HA1,HONGDANHYANG,개화,1,HA0,STAT,,INT,3,1,지능 +3
HA2,HONGDANHYANG,개화,2,HA1,SKILL,HS3,,0,1,마력 폭풍 습득
HA3,HONGDANHYANG,개화,3,HA2,ULTIMATE,HU1,,0,3,필살기: 만개
HH0,HONGDANHYANG,회복,0,,SKILL,HS2,,0,1,치유의 빛 습득
HH1,HONGDANHYANG,회복,1,HH0,STAT,,MDEF,3,1,마법방어 +3
HH2,HONGDANHYANG,회복,2,HH1,SKILL,HS4,,0,1,수호 축복 습득
HH3,HONGDANHYANG,회복,3,HH2,SKILL_LEVEL,HS2,,0,1,치유의 빛 강화 (+20%)
EKA1,ERIS,공격,0,,SKILL,ES5,,0,3,권능 : 찌르기 습득 (130%)
EKA2,ERIS,공격,1,EKA1,STAT,,STR,3,5,힘 상승 (+3)
EKA3,ERIS,공격,2,EKA2,SKILL,ES6,,0,8,부서지세요 습득 (90% + 방어 -10 3턴)
EKA4,ERIS,공격,3,EKA3,SKILL,ES7,,0,10,권능 : 파괴 습득 (50%, 사용마다 +30%)
EKA5,ERIS,공격,4,EKA4,STAT,,AGI,3,8,민첩 상승 (+3)
EKA6,ERIS,공격,5,EKA5,SKILL,ES8,,0,12,얼마나 버틸까요 습득 (방어 -50 후 100%)
EKA7,ERIS,공격,6,EKA6,SKILL,ES9,,0,15,압력 분출 습득 (전체 50%, 처치 시 반복)
EKA8,ERIS,공격,7,EKA7,SKILL,ES10,,0,20,찢어 줄게요 습득 (150%, 변신 2회/광기 3회)
