key,text,source_ko
ui.Main_Single_Play,Un jugador,싱글 플레이
ui.Main_Multi_Play,Multijugador,멀티 플레이
ui.Main_New_Game,Nueva partida,처음부터 시작
ui.Main_Continue,Continuar,이어하기
ui.Main_Multi_CreateRoom,Crear sala,방 만들기
ui.Main_Encyclopedia,Enciclopedia,백과사전
ui.Main_Settings,Ajustes,환경설정
ui.Main_Quit,Salir,게임 종료
ui.Settings_Full_Screen,Pantalla completa,전체 화면
ui.Settings_Apply,Aplicar,적용
ui.Settings_Display,Pantalla,디스플레이
ui.Settings_Resolution,Resolución,해상도
ui.Settings_Screen_Mode,Modo de pantalla,화면 모드
ui.Settings_Borderless_Window,Ventana sin bordes,전체 창 모드
ui.Settings_Windowed,Modo ventana,창 모드
ui.LabelGeork,Geork,게오르크
ui.LabelEris,Eris,에리스
ui.LabelDanhyang,Danhyang,단향
ui.Room_Ready,Listo,준비
ui.Room_Select_Cancel,Cancelar,취소
ui.Room_Start,Empezar,시작
ui.Room_Send,Enviar,전송
ui.Room_Placeholder,Escribe un mensaje.,메세지를 입력하세요.
ui.MapInfoPopUpItem.TextRewardTitle,Recompensa,보상
ui.MapInfoPopUpItem.TextRewardDetail,Detalles,보상 내용
ui.NPC_Mercurius.ButtonConsumable_Label,Consumibles,소모품
ui.NPC_Mercurius.ButtonEquipment_Label,Equipo,장비
ui.NPC_Mercurius.ButtonCraft_Label,Síntesis,합성
ui.NPC_RyuJinSol.ButtonSortie_Label,Salida,출정
ui.NPC_RyuJinSol.ButtonGiveGold_Label,Dar oro\n,골드 전달\n
ui.NPC_ShadowMan.ButtonSkillReset_Label,Reiniciar habilidades,스킬 초기화
ui.NPC_ShadowMan.Button1_Label,Botón,버튼
ui.NPC_ShadowMan.Button2_Label,Botón,버튼
ui.NPC_Sophia.ButtonSave_Label,Guardar,저장
ui.NPC_Sophia.ButtonPray_Label,Rezar,기도
ui.MapPlayer.TextSwap,Cambiar puesto,위치 변경
ui.MapPlayer.ButtonDeckInfo_Label,Mazo,덱 정보
ui.ForgottenDeckListPopUp.TextDeckListTitle,Pila de Olvido,잊혀진 덱
ui.PrefareDeckListPopUp.TextDeckListTitle,Mazo de Robo,뽑을 덱
ui.TrashDeckListPopUp.TextDeckListTitle,Pila de Descarte,버린 덱
ui.Game.TextHazardTitle,Peligro\n,위험도\n
ui.Game.TextDeadLine,Hasta la distorsión,뒤틀림까지
ui.Game.TextArea,Costa\n,연안\n
ui.Game.TextRegionInfo,Info de la región\n,거점 지역 정보\n
ui.Game.TextRegionGrade,Info de la región : \n,거점 지역 정보 : \n
ui.Game.TextRegionDetail,Detalles de la región :,거점 지역 내용 :
ui.Game.TextEndTurn,Fin del turno,턴 종료
ui.Game.TextDanger,Peligro\n,위험도\n
