key,text,source_ko
ui.Main_Single_Play,Solo,싱글 플레이
ui.Main_Multi_Play,Multijoueur,멀티 플레이
ui.Main_New_Game,Nouvelle partie,처음부터 시작
ui.Main_Continue,Continuer,이어하기
ui.Main_Multi_CreateRoom,Créer un salon,방 만들기
ui.Main_Encyclopedia,Encyclopédie,백과사전
ui.Main_Settings,Options,환경설정
ui.Main_Quit,Quitter,게임 종료
ui.Settings_Full_Screen,Plein écran,전체 화면
ui.Settings_Apply,Appliquer,적용
ui.Settings_Display,Affichage,디스플레이
ui.Settings_Resolution,Résolution,해상도
ui.Settings_Screen_Mode,Mode d'affichage,화면 모드
ui.Settings_Borderless_Window,Fenêtre sans bordure,전체 창 모드
ui.Settings_Windowed,Fenêtré,창 모드
ui.LabelGeork,Geork,게오르크
ui.LabelEris,Eris,에리스
ui.LabelDanhyang,Danhyang,단향
ui.Room_Ready,Prêt,준비
ui.Room_Select_Cancel,Annuler,취소
ui.Room_Start,Commencer,시작
ui.Room_Send,Envoyer,전송
ui.Room_Placeholder,Saisissez un message.,메세지를 입력하세요.
ui.MapInfoPopUpItem.TextRewardTitle,Récompense,보상
ui.MapInfoPopUpItem.TextRewardDetail,Détails,보상 내용
ui.NPC_Mercurius.ButtonConsumable_Label,Consommables,소모품
ui.NPC_Mercurius.ButtonEquipment_Label,Équipement,장비
ui.NPC_Mercurius.ButtonCraft_Label,Synthèse,합성
ui.NPC_RyuJinSol.ButtonSortie_Label,Départ,출정
ui.NPC_RyuJinSol.ButtonGiveGold_Label,Donner de l’or\n,골드 전달\n
ui.NPC_ShadowMan.ButtonSkillReset_Label,Réinitialiser les compétences,스킬 초기화
ui.NPC_ShadowMan.Button1_Label,Bouton,버튼
ui.NPC_ShadowMan.Button2_Label,Bouton,버튼
ui.NPC_Sophia.ButtonSave_Label,Sauvegarder,저장
ui.NPC_Sophia.ButtonPray_Label,Prier,기도
ui.MapPlayer.TextSwap,Changer de place,위치 변경
ui.MapPlayer.ButtonDeckInfo_Label,Deck,덱 정보
ui.ForgottenDeckListPopUp.TextDeckListTitle,Oubli,잊혀진 덱
ui.PrefareDeckListPopUp.TextDeckListTitle,Pioche,뽑을 덱
ui.TrashDeckListPopUp.TextDeckListTitle,Défausse,버린 덱
ui.Game.TextHazardTitle,Danger\n,위험도\n
ui.Game.TextDeadLine,Avant la distorsion,뒤틀림까지
ui.Game.TextArea,Littoral\n,연안\n
ui.Game.TextRegionInfo,Infos de la région\n,거점 지역 정보\n
ui.Game.TextRegionGrade,Infos de la région : \n,거점 지역 정보 : \n
ui.Game.TextRegionDetail,Détails de la région :,거점 지역 내용 :
ui.Game.TextEndTurn,Fin du tour,턴 종료
ui.Game.TextDanger,Danger\n,위험도\n
ui.Game.TextDeadLine_2,Avant la distorsion,뒤틀림까지
ui.Game.TextArea_2,Littoral\n,연안\n
ui.Game.TextTitle,Vérification : choisissez les cartes à défausser,카드 확인 : 버릴 카드를 선택하십시오
ui.Game.TextRemoveConfirm,OK,확인
ui.Game.TitleText,Butin,전리품
ui.Game.TitleText_2,Choisissez une carte,카드를 선택하십시오
ui.Game.ButtonSkip_Label,Passer,넘기기
ui.Game.TitleText_3,Choisissez une carte,카드를 선택하십시오
ui.Game.ButtonSkip_Label_2,Passer,넘기기
ui.Game.TitleText_4,Choisissez une carte,카드를 선택하십시오
ui.Game.ButtonSkip_Label_3,Passer,넘기기
ui.Game.ButtonReturnMenuScene_Label,Retour au menu principal,메인 메뉴로 돌아가기
ui.Game.TextDeckListTitle,Améliorer une carte,카드 강화
ui.Game.ButtonEnhanceOk_Label,Améliorer,강화
ui.Game.ButtonEnhanceCancel_Label,Annuler,취소
ui.Game.TextDeckListTitle_2,Retirer une carte,카드 제거
ui.Game.ButtonCardRemoveOk_Label,Retirer,제거
ui.Game.ButtonCardRemoveCancel_Label,Annuler,취소
ui.Game.TitleBackground_Label,Choisissez le personnage à soigner.,체력을 회복할 캐릭터를 선택하세요.
ui.Game.TitleBackground_Label_2,Choisissez le personnage à qui donner de l’or.,골드를 넘겨줄 캐릭터를 선택하세요.
ui.Game.TextArea_Placeholder,Saisissez un montant d’or..,골드 금액을 입력하세요..
ui.Game.ButtonGiveGoldOk_Label,OK,확인
ui.Game.ButtonGiveGoldCancel_Label,Annuler,취소
ui.Game.ButtonSelectSubmit_Label,OK,확 인
ui.Game.TextTitle_2,Oubli,잊혀진 덱
ui.Game.TextTitle_3,Défausse,버린 덱
ui.Game.ButtonSelectSubmit_Label_2,OK,확 인
ui.Game.ButtonOpenDeckBook_Label,Compendium,덱 북
ui.Game.ButtonCardEnhance_Label,Améliorer une carte,카드 강화
ui.Game.ButtonGeorkTransform_Label,Transformation !,변신!
ui.Game.ButtonSave_Label,Sauvegarder,세이브
ui.Menu.TextArea_Placeholder,Nom de la carte,카드 이름
ui.Menu.ButtonSearch_Label,Rechercher\n,검색\n
ui.Menu.TextArea_Placeholder_2,Nom de la carte,카드 이름
ui.Menu.ButtonSearch_Label_2,Rechercher\n,검색\n
ui.Menu.TextArea_Placeholder_3,Nom de la carte,카드 이름
ui.Menu.ButtonSearch_Label_3,Rechercher\n,검색\n
ui.msg.battle_boss,Combat : boss,전투 : 보스
ui.msg.battle_normal,Combat : monstres ordinaires,전투 : 일반 몬스터
ui.msg.battle_elite,Combat : monstres d’élite,전투 : 엘리트 몬스터
ui.msg.event_positive,Événement favorable,긍정적 이벤트
ui.msg.event_negative,Événement défavorable,부정적 이벤트
ui.msg.camp,Avant-poste,전초기지
ui.msg.hub,Base,거점
ui.msg.hub_healed,PV restaurés.,체력을 회복했습니다.
ui.msg.card_shop,Boutique de cartes,카드 상점
ui.msg.item_shop,Boutique d’objets,아이템 상점
ui.msg.map_boss_appeared,Un boss est apparu sur la carte.,맵에 보스가 출현 했습니다.
ui.msg.gold_input_invalid,Saisissez un montant d’or valide.,골드 금액을 정확하게 입력하세요.
ui.deck.multi_select_explanation,Choisissez <color=green>1</color> carte dans l’oubli et <color=red>1</color> carte dans la défausse.,"""잊혀진 덱에서 카드 <color=green>1</color> 장, 버린 덱에서 카드 <color=red>1</color> 장을 선택하세요."""
ui.deck.select_explanation,"Choisissez <color=green>{0}</color> cartes.\n( Clic gauche pour sélectionner, clic droit pour désélectionner. )","""카드를 <color=green>{0}</color> 장 선택하세요.\n( 마우스 왼쪽 버튼 클릭 시 선택, 오른쪽 버튼 클릭 시 해제 됩니다. )"""
ui.hazard.same,Danger identique,위험도 동일
ui.hazard.up,Danger accru,위험도 증가
ui.hazard.down,Danger réduit,위험도 감소
ui.msg.swap_accepted,La demande d’échange de place a été acceptée.,위치 교환 요청이 수락되었습니다.
